crate_id,name,repository,downloads,revdeps,top_category,popularity_band,is_core,stratum,created_at,latest_version_created_at,latest_version_year
456,matches,https://github.com/SimonSapin/rust-std-candidates,138986706,7888,uncategorized,n/a,1,core,2014-12-04 18:37:50.953491+00,2023-01-21 21:21:50.529117+00,2023
120326,solana-runtime,https://github.com/anza-xyz/agave,2691314,10356,uncategorized,n/a,1,core,2019-03-12 19:03:26.924557+00,2025-11-14 23:22:50.352817+00,2025
145557,mockall,https://github.com/asomers/mockall,86321592,13311,development-tools,n/a,1,core,2019-07-03 04:42:57.65817+00,2024-11-17 22:35:09.861614+00,2024
2910,rmp-serde,https://github.com/3Hren/msgpack-rust,64523645,15310,encoding,n/a,1,core,2015-08-24 12:49:26.519905+00,2024-04-30 13:47:27.647844+00,2024
184,http,https://github.com/hyperium/http,456407432,106684,web-programming,n/a,1,core,2014-11-20 23:30:38.809367+00,2025-03-11 20:19:56.370499+00,2025
4672,tera,https://github.com/Keats/tera,21927083,7874,template-engine,n/a,1,core,2016-04-04 16:03:33.335054+00,2025-10-30 08:09:22.035076+00,2025
3569,base64,https://github.com/marshallpierce/rust-base64,795678407,101752,encoding,n/a,1,core,2015-12-04 01:07:31.173829+00,2024-04-30 23:16:40.343739+00,2024
4891,error-chain,https://github.com/rust-lang-nursery/error-chain,49501094,7847,rust-patterns,n/a,1,core,2016-04-29 01:27:04.929343+00,2020-08-02 17:50:33.565942+00,2020
1783,smallvec,https://github.com/servo/rust-smallvec,567966808,41434,data-structures,n/a,1,core,2015-04-06 06:21:18.472333+00,2025-11-16 20:52:31.762924+00,2025
116368,tokio-test,https://github.com/tokio-rs/tokio,37140448,18906,asynchronous,n/a,1,core,2019-02-21 21:18:05.646781+00,2024-03-14 21:10:42.417497+00,2024
3290,hex,https://github.com/KokaKiwi/rust-hex,316872630,89289,encoding,n/a,1,core,2015-10-23 05:46:39.823534+00,2021-03-03 10:48:58.682837+00,2021
19436,proptest,https://github.com/proptest-rs/proptest,77345154,31002,development-tools,n/a,1,core,2017-06-18 17:47:46.015744+00,2025-10-26 21:57:37.382795+00,2025
2350,backtrace,https://github.com/rust-lang/backtrace-rs,283166356,11281,uncategorized,n/a,1,core,2015-06-10 08:23:39.379972+00,2025-09-26 02:43:38.784231+00,2025
9165,pretty_assertions,https://github.com/rust-pretty-assertions/rust-pretty-assertions,102791307,55824,development-tools,n/a,1,core,2017-03-26 23:33:43.680768+00,2024-09-15 13:11:03.148906+00,2024
10,uuid,https://github.com/uuid-rs/uuid,380605436,97514,parser-implementations,n/a,1,core,2014-11-11 05:37:37.261193+00,2025-09-02 06:11:41.210851+00,2025
97365,swc_ecma_codegen,https://github.com/swc-project/swc.git,6093849,15565,uncategorized,n/a,1,core,2018-11-18 03:45:31.805773+00,2025-11-03 08:09:24.489386+00,2025
7116,bs58,https://github.com/Nullus157/bs58-rs,49696246,14550,uncategorized,n/a,1,core,2016-11-02 21:08:38.185278+00,2024-03-19 12:50:23.529199+00,2024
166863,bytemuck,https://github.com/Lokathor/bytemuck,160368414,24705,encoding,n/a,1,core,2019-09-22 19:07:58.69601+00,2025-10-03 19:09:56.590158+00,2025
213019,frame-system,https://github.com/paritytech/polkadot-sdk.git,1423691,7582,uncategorized,n/a,1,core,2020-02-27 09:30:48.071267+00,2025-11-13 14:10:06.698009+00,2025
3608,rayon,https://github.com/rayon-rs/rayon,270601873,84492,concurrency,n/a,1,core,2015-12-10 22:38:20.637638+00,2025-08-12 23:22:16.331655+00,2025
108260,serde_repr,https://github.com/dtolnay/serde-repr,98161227,10280,encoding,n/a,1,core,2019-01-13 01:32:16.572279+00,2025-03-04 00:16:18.920627+00,2025
132412,trybuild,https://github.com/dtolnay/trybuild,30678202,14276,development-tools,n/a,1,core,2019-05-06 16:29:47.498008+00,2025-11-07 02:49:44.377139+00,2025
4304,serde_yaml,https://github.com/dtolnay/serde-yaml,178212466,52326,encoding,n/a,1,core,2016-02-27 06:46:34.20559+00,2024-03-25 00:50:19.759577+00,2024
4746,num-traits,https://github.com/rust-num/num-traits,522509769,70431,algorithms,n/a,1,core,2016-04-14 07:22:34.568594+00,2024-05-03 21:27:39.856244+00,2024
314,itertools,https://github.com/rust-itertools/itertools,712355517,120426,rust-patterns,n/a,1,core,2014-11-21 19:56:41.399795+00,2024-12-31 12:32:06.925445+00,2024
41500,criterion,https://github.com/bheisler/criterion.rs,135280124,98622,development-tools,n/a,1,core,2017-12-02 23:43:19.376458+00,2025-07-25 10:53:22.779656+00,2025
104626,serial_test,https://github.com/palfrey/serial_test/,76893816,19458,development-tools,n/a,1,core,2018-12-30 23:25:35.760393+00,2024-11-08 19:28:07.728609+00,2024
56,nix,https://github.com/nix-rust/nix,369485105,28814,os,n/a,1,core,2014-11-11 22:15:48.567559+00,2025-05-04 04:20:05.085648+00,2025
6,tar,https://github.com/alexcrichton/tar-rs,110046109,18262,uncategorized,n/a,1,core,2014-11-11 00:22:07.358495+00,2025-02-22 00:59:08.196026+00,2025
179476,opentelemetry,https://github.com/open-telemetry/opentelemetry-rust/tree/main/opentelemetry,126842176,10602,api-bindings,n/a,1,core,2019-11-08 20:41:11.251122+00,2025-09-25 21:44:43.202508+00,2025
3865,mockito,https://github.com/lipanski/mockito,26826744,8032,development-tools,n/a,1,core,2016-01-10 22:20:34.448741+00,2025-03-04 09:29:47.970681+00,2025
399,ansi_term,https://github.com/ogham/rust-ansi-term,163831948,14399,uncategorized,n/a,1,core,2014-11-26 00:50:42.101172+00,2019-09-02 10:16:04.908577+00,2019
34,pkg-config,https://github.com/rust-lang/pkg-config-rs,373917127,10372,uncategorized,n/a,1,core,2014-11-11 06:37:31.276162+00,2025-03-03 10:04:55.062213+00,2025
4194,assert_matches,https://github.com/murarth/assert_matches,40440661,20844,no-std,n/a,1,core,2016-02-16 20:12:56.68643+00,2021-02-05 04:16:48.301552+00,2021
169753,async-recursion,https://github.com/dcchut/async-recursion,75410426,9548,uncategorized,n/a,1,core,2019-10-04 00:56:26.118378+00,2024-04-25 16:06:43.164603+00,2024
7848,pretty_env_logger,https://github.com/seanmonstar/pretty-env-logger,29306524,11559,development-tools,n/a,1,core,2016-12-29 21:40:51.235536+00,2023-05-18 13:53:58.790999+00,2023
468571,aws-sig-auth,https://github.com/smithy-lang/smithy-rs,13208575,10744,uncategorized,n/a,1,core,2021-10-21 16:43:56.750134+00,2024-01-22 20:09:17.50261+00,2024
18850,percent-encoding,https://github.com/servo/rust-url/,433258061,21335,no-std,n/a,1,core,2017-06-13 17:02:11.044209+00,2025-08-21 08:46:50.131801+00,2025
430774,miette,https://github.com/zkat/miette,32016424,14770,rust-patterns,n/a,1,core,2021-08-03 02:37:11.180152+00,2025-04-27 04:53:40.567063+00,2025
3427,approx,https://github.com/brendanzab/approx,75323833,13199,uncategorized,n/a,1,core,2015-11-15 13:11:40.32268+00,2022-01-23 10:15:35.11859+00,2022
205184,eyre,https://github.com/eyre-rs/eyre,60777857,14459,rust-patterns,n/a,1,core,2020-02-05 15:38:43.804247+00,2024-01-31 16:44:06.54448+00,2024
13666,arbitrary,https://github.com/rust-fuzz/arbitrary/,67371398,14320,development-tools,n/a,1,core,2017-05-08 05:52:54.904092+00,2025-08-14 18:20:10.78083+00,2025
468193,aws-endpoint,https://github.com/smithy-lang/smithy-rs,12786293,11077,uncategorized,n/a,1,core,2021-10-20 23:54:42.376417+00,2024-01-22 20:07:59.946713+00,2024
247731,egui,https://github.com/emilk/egui,10426229,8669,game-development,n/a,1,core,2020-05-30 16:23:04.887452+00,2025-11-13 14:30:26.988085+00,2025
139543,async-stream,https://github.com/tokio-rs/async-stream,163448834,13448,uncategorized,n/a,1,core,2019-06-07 03:31:34.275797+00,2024-10-01 19:36:32.827442+00,2024
34914,failure,https://github.com/rust-lang-nursery/failure,40746415,19316,uncategorized,n/a,1,core,2017-10-08 21:02:37.136531+00,2020-05-02 18:13:11.746367+00,2020
27332,static_assertions,https://github.com/nvzqz/static-assertions-rs,244748725,16906,development-tools,n/a,1,core,2017-08-13 00:07:30.041787+00,2019-11-03 17:02:11.618786+00,2019
7045,ignore,https://github.com/BurntSushi/ripgrep/tree/master/crates/ignore,82374397,10669,uncategorized,n/a,1,core,2016-10-30 02:14:00.0699+00,2025-10-30 17:30:16.649243+00,2025
5055,parking_lot,https://github.com/Amanieu/parking_lot,541072164,64720,concurrency,n/a,1,core,2016-05-13 15:57:59.130349+00,2025-10-03 23:34:14.078935+00,2025
